cod_anuncio;prioridade;cep_2dig;Estado;Cidade
165111;3;71;DF;Brasi­lia
165115;3;71;DF;Brasi­lia
165122;1;59;RN;Natal
165127;2;79;MS;Campo Grande
165128;1;6;SP;Taboão da Serra
165132;3;5;SP;São Paulo
27990;3;12;SP;Guaratinguetá
27991;3;7;SP;Guarulhos
165134;3;8;SP;Mogi das Cruzes
165145;3;30;MG;Belo Horizonte
28015;3;13;SP;Mogi Mirim
28016;3;12;SP;Atibaia
165146;3;82;PR;Curitiba
165148;3;50;PE;Recife
165156;3;12;SP;São Jose dos Campos
191878;2;4;SP;São Paulo
28040;3;13;SP;Itatiba
191887;3;9;SP;Santo Andre
191846;1;80;PR;Curitiba
191860;1;5;SP;São Paulo
164788;3;19;SP;Presidente Prudente
164789;3;22;RJ;Rio de Janeiro
164794;1;3;SP;São Paulo
28069;1;5;SP;São Paulo
164796;3;17;SP;Jau
28088;3;19;SP;Presidente Prudente
164816;3;85;PR;Cascavel
164822;3;81;PR;Curitiba
28115;3;13;SP;São Jose do Rio Pardo
164851;3;74;GO;Goiânia
164853;3;8;SP;Mogi das Cruzes
164869;3;8;SP;Mogi das Cruzes
28132;3;57;AL;Maceio
164878;3;82;PR;Curitiba
164882;3;89;SC;Gaspar
164886;3;13;SP;Campinas
164888;3;35;MG;Ipatinga
164893;3;88;SC;Araranguá
164896;3;80;PR;Curitiba
28168;3;13;SP;Campinas
28173;3;74;GO;Goiânia
164908;3;41;BA;Salvador
28179;2;6;SP;Osasco
28180;3;89;SC;Blumenau
28182;3;81;PR;Curitiba
164935;1;22;RJ;Rio de Janeiro
28193;3;13;SP;Jundiai­
164938;3;74;GO;Goiânia
164959;1;4;SP;São Paulo
28199;3;14;SP;Franca
164960;3;4;SP;São Paulo
164966;3;51;PE;Recife
28210;2;12;SP;São Jose dos Campos
28212;3;11;SP;Praia Grande
164972;1;29;ES;Vitoria
164978;3;3;SP;São Paulo
191789;3;9;SP;São Bernardo do Campo
164602;3;5;SP;São Paulo
164608;3;7;SP;Guarulhos
164617;2;95;RS;Caxias do Sul
164619;3;98;RS;Santo i‚ngelo
164622;3;71;DF;Brasi­lia
164640;3;84;PR;Irati
164645;3;87;PR;Campo Mourão
164653;3;40;BA;Salvador
164656;3;71;DF;Brasi­lia
164663;3;71;DF;Brasi­lia
164674;1;90;RS;Porto Alegre
164682;3;15;SP;São Jose do Rio Preto
164702;3;27;RJ;Barra Mansa
164714;3;36;MG;Juiz de Fora
164726;3;81;PR;Curitiba
164727;3;6;SP;Cotia
164733;1;84;PR;Castro
164737;3;13;SP;Jundiai­
28325;2;69;AM;Manaus
28328;2;9;SP;São Bernardo do Campo
164743;3;85;PR;Guarapuava
164744;3;18;SP;Sorocaba
164766;1;11;SP;Praia Grande
164770;3;38;MG;Uberlândia
164771;3;84;PR;Ponta Grossa
164773;3;21;RJ;Rio de Janeiro
28368;3;85;PR;Francisco Beltrão
28374;3;3;SP;São Paulo
164775;3;38;MG;Uberlândia
164779;3;38;MG;Uberlândia
164780;3;38;MG;Uberlândia
