cod_cliente;flg_unico_dono;flg_licenciado;flg_ipva_pago;flg_todas_revisoes_concessionaria;flg_garantia_fabrica;flg_blindado;flg_aceita_troca;flg_adaptado_pcd
6196;0;0;0;0;0;0;0;0
25097;1;1;0;10;0;0;1;0
15340;1;1;10;0;0;1;1;0
7210;1;1;0;10;10;0;0;0
8218;0;0;0;0;0;0;0;0
22121;0;1;10;10;0;0;0;0
19691;1;1;0;10;10;0;1;0
2456;0;0;0;0;0;0;0;0
247;1;0;0;10;0;0;1;0
5251;0;0;0;0;0;0;0;0
3282;0;0;0;0;0;0;0;0
7058;1;0;0;0;0;0;0;0
24797;0;0;0;10;0;0;0;0
12904;0;1;10;0;0;0;1;0
25167;0;1;10;0;0;0;1;0
21688;1;1;10;10;0;0;1;0
25177;0;0;0;0;0;0;0;0
25189;0;1;10;10;10;0;0;0
14579;0;0;10;0;0;0;1;0
25200;0;1;10;0;0;0;1;0
17744;1;1;10;0;10;0;0;0
1848;0;1;10;0;0;0;1;0
6896;0;0;0;0;0;0;0;0
17750;1;1;10;0;0;0;1;0
17106;0;1;10;0;0;0;0;0
14492;0;1;10;10;0;0;0;0
25227;1;1;10;10;0;0;1;0
8984;0;0;0;0;0;0;0;0
25245;0;0;0;10;0;1;1;0
25246;0;0;0;0;0;0;1;0
24658;0;1;10;10;0;0;0;0
21125;0;1;10;0;0;0;0;0
1273;0;1;10;0;0;0;1;0
1033;1;1;10;10;0;0;0;0
20290;0;1;10;0;0;0;0;0
15798;1;1;10;0;0;1;1;0
8985;0;0;0;0;0;0;0;0
22729;0;0;0;0;0;0;0;0
25056;0;0;0;0;0;0;0;0
13811;1;1;10;10;0;1;1;0
24818;1;0;0;0;0;0;0;0
13893;1;1;10;10;0;0;1;0
17842;0;0;0;0;0;0;0;0
6212;0;0;0;0;10;0;0;0
222;0;1;10;0;0;0;0;0
471;0;1;10;0;0;0;1;0
8947;1;0;0;10;0;0;0;0
16738;0;1;10;0;0;0;0;0
25380;0;1;10;0;0;0;1;0
20929;0;0;0;0;0;0;0;0
8987;0;0;0;0;0;0;0;0
23720;0;1;10;10;10;0;0;0
24937;0;1;10;10;10;0;0;0
21745;1;1;10;0;0;0;0;0
13267;0;1;10;0;0;0;0;0
22921;1;1;10;10;10;0;1;0
15285;0;1;10;10;10;0;1;0
25444;0;1;10;0;0;0;1;0
23242;1;1;10;10;10;0;1;0
25477;1;1;10;10;10;0;1;0
19537;1;1;10;0;0;0;1;0
127;0;1;10;10;0;0;0;0
25190;1;0;10;0;0;0;0;0
25519;1;1;10;10;10;0;0;0
13443;1;1;10;10;10;0;0;0
15527;1;1;10;10;0;1;1;0
7427;0;0;0;0;0;0;0;0
21877;1;0;10;10;10;0;1;0
24799;0;1;10;0;0;0;0;0
25545;0;0;0;0;0;0;0;0
13871;0;1;10;10;0;0;0;0
4904;0;0;0;0;0;0;0;0
25570;1;1;10;0;0;0;1;0
14104;0;0;0;0;0;0;0;0
2232;0;0;0;0;0;0;0;0
25575;0;1;10;0;0;0;0;0
15318;1;1;10;10;10;1;1;0
25595;0;0;0;0;0;0;0;0
16604;0;0;0;0;0;0;0;0
7115;0;1;10;0;0;0;0;0
16935;0;1;10;0;0;0;0;0
19122;0;1;10;10;0;1;0;0
23538;0;0;0;0;0;0;0;0
13253;0;1;10;10;10;0;1;0
18679;0;1;10;0;0;0;0;0
457;1;1;10;0;10;0;1;0
792;0;1;0;0;0;0;0;0
13688;1;1;10;10;10;0;1;0
5587;0;0;0;0;0;0;0;0
21090;0;1;10;0;10;0;1;0
22155;0;1;10;10;0;0;1;0
24821;0;0;0;0;0;0;0;0
18649;1;1;10;10;10;1;1;0
16267;0;0;10;10;0;0;0;0
4301;0;0;0;0;0;0;0;0
17642;1;1;10;0;10;0;0;0
4822;1;0;0;10;0;0;0;0
25696;0;0;0;0;0;0;0;0
25699;0;1;10;0;0;0;0;0
24562;1;1;10;10;10;0;0;0
17745;1;1;10;10;10;0;1;0
13107;1;1;10;10;10;0;1;0
25736;0;1;10;0;0;0;0;0
25753;0;1;0;10;0;0;0;0
6078;0;0;0;0;0;0;0;0
20809;0;0;0;0;0;0;0;0
14071;1;1;10;10;0;0;0;0
704;0;1;10;10;0;0;0;0
25773;1;1;10;10;10;0;1;0
25780;1;0;0;10;10;0;1;0
1630;0;1;10;0;0;0;0;0
19453;0;0;0;0;0;1;0;0
2652;0;1;10;10;10;0;0;0
17123;1;1;10;10;0;0;1;0
25809;1;1;10;10;0;0;1;0
6953;0;0;0;0;0;0;0;0
25802;0;1;10;10;0;0;0;0
20438;0;1;10;0;0;1;0;0
89;0;1;10;0;0;1;0;0
19820;0;1;10;10;0;0;1;0
9058;0;0;0;0;0;0;0;0
6185;0;0;0;0;0;0;0;0
25296;1;1;10;0;0;0;0;0
25105;0;1;10;10;10;1;1;0
25834;0;1;0;10;10;0;1;0
9889;0;0;0;10;0;0;0;0
5632;1;1;10;10;0;0;0;0
15403;1;0;0;10;0;0;1;0
25900;1;0;0;10;0;0;0;0
18134;0;0;0;0;0;0;0;0
19094;1;0;0;0;0;0;1;0
19180;0;1;10;0;0;0;0;0
25118;1;1;10;10;0;0;1;0
25941;0;0;0;0;10;0;0;0
20088;0;0;0;0;0;0;0;0
4548;0;0;0;10;0;0;0;0
5546;1;0;10;0;0;0;0;0
25951;0;0;0;0;0;0;0;0
25957;1;0;0;0;0;0;0;0
25209;1;1;10;0;0;0;1;0
25962;1;0;0;0;0;0;0;0
5420;1;0;10;0;0;0;0;0
25967;1;1;10;0;0;1;1;0
21482;1;1;10;10;10;0;1;0
5815;1;0;0;10;0;0;0;0
5061;0;0;0;0;0;0;0;0
25977;0;1;10;0;0;0;0;0
4252;0;0;0;0;0;0;0;0
25991;0;1;10;0;0;0;0;0
25996;0;1;10;0;0;0;0;0
14824;1;1;10;10;0;0;1;0
16720;0;1;10;0;0;0;1;0
23727;0;1;10;0;0;0;0;0
18889;0;1;10;0;0;0;1;0
22282;0;1;10;0;0;0;0;0
23907;0;0;10;10;0;0;1;0
7114;0;0;0;0;0;0;0;0
8038;0;1;10;0;0;0;0;0
6858;0;0;0;0;0;0;0;0
21039;1;1;10;10;10;0;0;0
20056;1;1;10;10;0;0;1;0
6698;0;0;0;0;0;0;0;0
21029;1;1;10;10;10;0;1;0
6544;0;0;0;0;0;0;0;0
7759;0;1;10;0;0;0;0;0
4332;0;0;0;0;0;0;0;0
7368;0;0;0;10;10;0;0;0
1192;0;0;0;0;0;0;0;0
26058;0;1;10;0;0;0;1;0
26061;1;1;10;0;0;0;1;0
17926;0;1;10;0;0;0;0;0
20844;0;1;10;0;0;0;1;0
2764;1;1;10;10;10;0;0;0
18598;1;0;0;10;0;0;0;0
21012;0;0;0;10;0;0;1;0
13984;1;1;10;10;0;1;0;0
15223;1;1;10;10;10;0;1;0
831;1;1;10;10;10;0;1;0
16367;0;1;10;0;0;0;1;0
14446;1;1;10;0;0;0;1;0
7385;0;1;10;10;0;0;0;0
7242;0;0;0;0;0;0;0;0
13031;0;1;10;0;0;0;0;0
968;1;1;10;10;0;0;1;0
8703;0;0;0;0;0;0;0;0
20677;0;1;10;0;0;0;0;0
4273;1;1;10;10;10;0;0;0
16681;0;1;10;0;0;0;0;0
19212;0;1;10;0;0;0;0;0
18917;0;0;0;0;0;0;1;0
4815;1;1;10;0;0;0;0;0
26132;1;0;10;0;0;0;0;0
24453;1;1;10;0;10;1;0;0
18695;0;0;0;0;0;0;0;0
25446;0;1;10;0;0;0;0;0
26143;1;1;10;0;0;0;1;0
1256;0;1;10;10;0;1;1;0
21904;0;0;0;10;0;0;1;0
23962;1;1;10;10;10;0;0;0
9386;0;0;0;0;0;0;0;0
25695;0;0;0;0;0;0;0;0
21800;0;1;10;0;0;0;1;0
25490;0;0;0;0;0;0;0;0
6878;0;0;0;0;0;0;0;0
5441;0;0;0;0;0;0;0;0
24368;0;1;10;10;0;0;0;0
4959;0;0;0;0;0;0;0;0
8331;0;0;0;0;0;0;0;0
3070;0;0;0;0;0;0;0;0
10330;0;0;0;0;0;0;0;0
21472;0;1;10;10;0;0;0;0
23572;1;1;10;0;0;0;1;0
1782;0;0;10;0;0;0;0;0
20145;0;1;10;10;10;1;1;0
17997;1;1;10;10;10;0;0;0
10329;0;0;0;0;0;0;0;0
8371;1;1;10;10;0;1;0;0
26220;1;1;10;10;0;0;1;0
9687;0;0;10;0;0;0;0;0
26226;1;1;10;0;0;0;1;0
5511;0;1;10;0;0;0;0;0
12819;0;1;10;10;0;0;0;0
7011;0;1;10;0;0;0;0;0
26243;0;0;0;0;0;0;1;0
3789;0;0;0;0;0;0;0;0
5103;0;0;0;0;0;0;0;0
10312;0;0;0;0;0;0;0;0
8658;0;1;10;0;0;0;0;0
26251;0;1;10;0;0;0;0;0
6139;0;0;0;0;0;0;0;0
686;1;1;10;10;10;0;0;0
6363;0;1;10;0;0;0;0;0
19037;0;0;10;0;0;0;0;0
26266;1;1;10;10;0;0;0;0
22494;1;1;10;10;10;0;1;0
26278;0;1;10;0;0;0;1;0
7198;0;1;0;10;0;0;0;0
14794;1;0;0;10;0;0;1;0
